nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_₋,taille_adulte_₊,profondeur_habituelle_-,profondeur_habituelle₊,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,lien_fiche_doris,Unnamed: 3,label,nb_images
Chelidonichthys lastoviza,459,Le grondin camard,,88,25.0,30,20.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DIDIERLAURENT Sylvie, ROCHEFORT Gaël, LAMARE Véronique in : DORIS, 23/06/2022 : Chelidonichthys lastoviza (Bonnaterre, 1788)",https://doris.ffessm.fr/ref/specie/770,,73,304.0
Chelidonichthys lucerna,460,Le grondin-perlon,,88,50.0,60,20.0,150.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MARAN Vincent, ROCHEFORT Gaël, ZIEMSKI Frédéric in : DORIS, 09/11/2020 : Chelidonichthys lucerna (Linnaeus, 1758)",https://doris.ffessm.fr/ref/specie/875,,74,500.0
Chelidonichthys obscurus,463,Le grondin morrude,,88,30.0,35,20.0,70.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Chelon auratus,58,Le mulet doré,,18,35.0,40,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Chelon labrosus,55,Le mulet lippu,,18,40.0,60,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COUDRE Christian, LE GRANCHÉ Philippe, ANDRÉ Frédéric in : DORIS, 30/01/2021 : Chelon labrosus (Risso, 1827)",https://doris.ffessm.fr/ref/specie/1435,,87,371.0
Chelon ramada,59,Le mulet porc,,18,40.0,60,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Chelon saliens,60,Le mulet sauteur,,18,35.0,40,0.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Chilomycterus reticulatus,325,Le poisson hérisson ponctué,,77,40.0,50,5.0,50.0,près du fond,,Epines robustes et dents coupantes,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Chimaera monstrosa,686,La chimere commune,,151,70.0,90,100.0,500.0,Pres du fond,,La piqûre de l'épine de la première nageoire dorsale provoque une douleur intense et une plaie profonde.,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
Chirolophis ascanii,333,Le toupet marbré,,81,18.0,20,15.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,
