nom_scientifique,ID,nom_commun,autres_noms,id_famille,taille_adulte_min,taille_adulte_max,profondeur_habituelle_min,profondeur_habituelle_max,Colonne_d_eau,reglementation,danger,mode_de_vie,entrainement_modele,A_entrainer,Cotes_françaises,Mediterranée,Atlantique,Manche,Mer du Nord,Pêche_commerciale,IUCN_red_list,citation_ouvrages,citation_doris,id_doris,label,nb_images,class_img,id_worms
Labrus merula,217,Le merle,,53,30.0,40,2.0,25.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LAMARE Véronique, CASTILLO Jean-Pierre, PASTOR Jérémy in : DORIS, 16/04/2021 : Labrus merula Linnaeus, 1758",162,15.0,360.0,<rnd>,
Labrus mixtus,219,La coquette,,53,30.0,35,15.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," RITZENTHALER Sylvie, PETIT DE VOIZE Patrice, SITTLER Alain-Pierre in : DORIS, 02/10/2022 : Labrus mixtus Linnaeus, 1758",501,16.0,367.0,<rnd>,
Labrus viridis,218,Le labre vert,,53,30.0,40,10.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lactophrys trigonus,329,Le coffre bossu,,78,30.0,45,,,près du fond,,Peau toxique,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lagocephalus lagocephalus,142,Le tétraodon lievre océanique,,35,50.0,55,0.0,30.0,loin du fond,,Toxicité/morsure,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lagocephalus spadiceus,143,Le tétraodon lièvre doré,,35,20.0,30,0.0,50.0,loin du fond,,Toxicité/morsure,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lamna nasus,627,Le requin-taupe commun,,139,250.0,280,50.0,300.0,Pleine eau,,Un cas d’attaque mortelle connu,"Pleine eau, se rencontre parfois pres des côtes",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," CHATEL Paul, GIRARD Pascal in : DORIS, 19/01/2021 : Lamna nasus Bonnaterre, 1788",4905,,,<rnd>,
Lampetra fluviatilis,491,La lamproie fluviatile,,98,30.0,50,0.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lampris guttatus,29,Le lampris,,7,120.0,200,5.0,400.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lappanella fasciata,237,Le labre iris,,53,12.0,15,50.0,150.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lebetus guilleti,417,Le gobie nain de Guillet,,85,2.4,2.4,10.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lebetus scorpioides,416,Le gobie-nabot,,85,3.0,3.5,15.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lepadogaster candolii,578,Le porte-ecuelle de Candolle,,124,6.0,7,1.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lepadogaster lepadogaster,579,Le porte ecuelle de Gouan,,124,5.0,6,0.0,1.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lepidopus caudatus,139,Le sabre argenté,,34,150.0,210,30.0,400.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lepidorhombus boscii,547,La cardine à 4 taches,,116,30.0,35,150.0,400.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lepidorhombus whiffiagonis,546,La cardine franche,,116,40.0,45,50.0,400.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lepidotrigla cavillone,465,Le grondin cavillone,,88,15.0,20,15.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Leptocharias smithii,608,L'Emissole barbue,,128,70.0,85,5.0,80.0,,,,Vis sur fonds meuble et estuaires,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Leptoclinus maculatus,527,La lompénie tachetée,,111,18.0,22,15.0,250.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lesueurigobius friesii,426,Le gobie de Fries,,85,8.0,13,10.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lesueurigobius heterofasciatus,429,Le gobie fascié,,85,4.4,4.4,100.0,345.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lesueurigobius sanzi,428,Le gobie de Sanzo,,85,8.0,9.5,40.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lesueurigobius suerii,427,Le gobie de Lesueur,,85,5.0,8,5.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lethenteron camtschaticum,492,La lamproie arctique,,98,40.0,62,,,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Leucoraja circularis,674,La raie circulaire,,146,90.0,120,70.0,250.0,Sur le fond,,,Sur vase et sables vaseux,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LEFEBVRE Mélody, LE GRANCHÉ Philippe, CHANET Bruno in : DORIS, 01/04/2023 : Raja microocellata Montagu",5599,,,<rnd>,
Leucoraja fullonica,661,La raie-chardon,,146,90.0,100,100.0,400.0,Sur le fond,,,Milieux vaseux et fonds sablo-vaseux profonds. ,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Leucoraja naevus,663,La raie fleurie,,146,60.0,72,50.0,200.0,Sur le fond,,,Fonds sableux du large,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,https://doris.ffessm.fr,,,<rnd>,
Lichia amia,86,La liche,,20,100.0,180,1.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Limanda limanda,533,La limande,,113,30.0,35,20.0,40.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Liparis liparis,575,La grande limace de mer,,123,12.0,15,1.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Liparis montagui,576,La petite limace de mer,,123,8.0,10,0.0,30.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lipophrys pholis,349,Le mordocet,,82,14.0,16,0.0,3.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DIDIERLAURENT Sylvie, ZIEMSKI Frédéric in : DORIS, 03/04/2022 : Lipophrys pholis (Linnaeus, 1758)",2695,51.0,582.0,<rnd>,
Lipophrys trigloides,348,La blennie trigloïde,,82,10.0,13,0.0,0.5,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lithognathus mormyrus,199,Le marbré,,44,30.0,40,5.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DIDIERLAURENT Sylvie, LAMARE Véronique, PASTOR Jérémy in : DORIS, 07/08/2022 : Lithognathus mormyrus (Linnaeus, 1758)",462,11.0,529.0,<rnd>,
Lobotes surinamensis,211,Le croupia,,48,50.0,70,0.0,10.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lophius budegassa,572,La baudroie rousse,,120,50.0,80,50.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lophius piscatorius,571,La baudroie commune,,120,120.0,150,20.0,500.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lophotus lacepede,148,Le poisson ruban licorne,,38,100.0,180,100.0,1000.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lumpenus lampretaeformis,526,La blennie-serpent,,111,35.0,50,30.0,200.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Lutjanus argentimaculatus,213,Le lutjan de mangrove,,50,70.0,80,5.0,30.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Luvarus imperialis,31,Le louvereau,,9,150.0,190,5.0,200.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Macroramphosus scolopax,306,La bécasse de mer,,71,10.0,14,50.0,150.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Macrourus berglax,301,Le grenadier gris,,67,70.0,100,100.0,1000.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Magnisudis atlantica,54,La barracudine,,17,40.0,50,200.0,800.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Makaira nigricans,128,La makaire bleu,,30,400.0,500,0.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Mallotus villosus,52,Le capelan atlantique,,15,20.0,23,0.0,300.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Masturus lanceolatus,134,Le poisson lune lacéolé,,31,150.0,300,0.0,300.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Mauligobius maderensis,408,Le gobie de Madère,,85,10.0,15,0.0,3.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Megalops atlanticus,14,Le tarpon atlantique,,3,103.0,108,2.0,15.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Melanogrammus aeglefinus,296,L’églefin,,52,60.0,75,50.0,200.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Merlangius merlangus,292,Le merlan,,52,40.0,50,30.0,100.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Merluccius merluccius,97,Le merlu commun,,22,80.0,110,70.0,3000.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Micrenophrys lilljeborgii,371,Le chabot nain,,84,6.0,8,0.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Microchirus azevia,561,La sole perdrix brune,,117,30.0,40,20.0,250.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Microchirus boscanion,558,La sole perdrix à nageoires striées,,117,10.0,12,10.0,200.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Microchirus hexophthalmus,560,La sole à 6 yeux,,117,18.0,22,5.0,150.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Microchirus ocellatus,559,La sole perdrix ocellée,,117,18.0,22,20.0,400.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Microchirus variegatus,562,La sole perdrix panachée,,117,15.0,18,50.0,300.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Microlipophrys adriaticus,350,La blennie de l’Adriatique,,82,4.0,5,0.0,0.5,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Microlipophrys canevae,352,La blennie de Caneva,,82,6.0,7,0.5,2.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DIDIERLAURENT Sylvie, BODILIS Pascaline in : DORIS, 08/02/2021 : Microlipophrys canevae (Vinciguerra, 1880)",2715,52.0,289.0,<rnd>,
Microlipophrys dalmatinus,351,La blennie dalmate,,82,3.0,4,0.5,2.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Microlipophrys nigriceps,353,La blennie à tête noire,,82,3.0,4,1.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Micromesistius poutassou,299,Le merlan bleu,,52,30.0,45,30.0,400.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Microstomus kitt,534,La limande-sole,,113,35.0,40,20.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Millerigobius macrocephalus,406,Le gobie nain à grosse tête,,85,4.0,4.5,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Mobula mobular,682,Diable de Mer Méditerranéen,,149,300.0,550,0.0,20.0,Pleine eau,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," TRELUT Pascal, SITTLER Alain-Pierre, MALIET Vincent, BAUS Frédéric in : DORIS, 30/09/2022 : Mobula mobular (Bonnaterre, 1788)",2912,,,<rnd>,
Mola mola,133,Le poisson lune,,31,150.0,200,0.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Molva dipterygia,285,La lingue bleue,,52,100.0,150,200.0,1000.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Molva molva,284,La lingue franche,,52,140.0,160,50.0,300.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Monochirus hispidus,563,La sole velue,,117,15.0,18,10.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Mora moro,283,Le moro commun,,66,50.0,65,200.0,800.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Mugil cephalus,57,Le mulet à grosse tête,,18,60.0,90,0.0,5.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Mullus barbatus,454,Le rouget-barbet de vase,,86,18.0,23,30.0,300.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DIDIERLAURENT Sylvie, LAMARE Véronique, PASTOR Jérémy in : DORIS, 16/08/2022 : Mullus barbatus Linnaeus, 1758",579,72.0,330.0,<rnd>,
Mullus surmuletus,453,Le rouget-barbet de roche,,86,25.0,30,3.0,80.0,Vivent sur le fond,,,,oui,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," PETIT DE VOIZE Patrice, PEAN Michel, JEGLOT Samuel in : DORIS, 17/08/2022 : Mullus surmuletus Linnaeus, 1758",500,71.0,1205.0,<rnd>,
Muraena helena,504,La murène commune,,103,120.0,130,5.0,50.0,Vivent sur le fond,,Morsure possible,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," LA RIVIERE Marie, PEAN Michel, HARMELIN Jean-Georges in : DORIS, 06/12/2022 : Muraena helena Linnaeus, 1758",740,83.0,755.0,<rnd>,
Muraena melanotis,505,La murène à pois,,103,60.0,80,1.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Muraenesox cinereus,516,Le congre-brochet à dents de sabre,,105,150.0,170,20.0,50.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Mustelus asterias,604,L'Emissole tachetée,,127,100.0,130,10.0,200.0,Pres du fond,,,"Vit sur les fonds meubles, sable et gravier, Espece occasionnelle",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," MALIET Vincent, SERET Bernard, KUPFER Michel in : DORIS, 10/11/2020 : Mustelus asterias Cloquet, 1821",1186,,,<rnd>,
Mustelus mustelus,605,L'Emissole lisse,,127,100.0,120,10.0,60.0,Pres du fond,,,Vit sur les fonds rocheux et sableux. Espece occasionnelle,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Mustelus punctulatus,606,L'Emissole pointillée,,127,120.0,190,3.0,200.0,,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Mycteroperca rubra,267,Le mérou royal,,61,40.0,50,15.0,50.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Myliobatis aquila,680,La raie aigle,,148,100.0,120,10.0,60.0,Pleine eau (fond pour se nourrir),,Aiguillon venimeux sur la queue juste derrière la nageoire dorsale,"Fonds meubles côtiers, proximité des secs et promontoires rocheux.",,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DUMAS Jacques, ZIEMSKI Frédéric, ANDRÉ Frédéric in : DORIS, 02/08/2022 : Myliobatis aquila (Linnaeus, 1758)",903,,,<rnd>,
Mynyichthys sentus,599,Le syngnathe nain,,32,5.0,6,50.0,100.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Myoxocephalus quadricornis,372,Le chaboisseau quadricorne,,84,25.0,38,0.0,25.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Myoxocephalus scorpius,370,Le chaboisseau commun,,84,25.0,30,1.0,25.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Myxine glutinosa,493,La myxine,,99,30.0,80,20.0,600.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Naucrates ductor,93,Le poisson-pilote,,20,40.0,50,1.0,15.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Negaprion brevirostris,646,Le requin citron,,140,300.0,340,0.0,100.0,Souvent à faible profondeur,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," ROGER Jean, SITTLER Alain-Pierre in : DORIS, 13/01/2019 : Negaprion brevirostris (Poey, 1868)",830,,,<rnd>,
Nerophis lumbriciformis,598,Le nérophis lombricoïde,,32,12.0,15,0.0,5.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," ZIEMSKI Frédéric, BORG David in : DORIS, 10/11/2020 : Nerophis lumbriciformis (Jenyns, 1835)",1404,95.0,259.0,<rnd>,
Nerophis maculatus,596,Le nérophis tacheté,,32,20.0,25,1.0,20.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Nerophis ophidion,597,Le nèrophis ophidion,,32,22.0,25,1.0,10.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Nettastoma melanura,519,La sorcière à queue noire,,107,60.0,80,80.0,400.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Ninnigobius canestrinii,444,Le gobie de Canestrini,,85,5.0,6.7,,,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Nomeus gronovii,94,Le dérivant des physalies,,21,20.0,28,0.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Oblada melanurus,175,L’oblade,,44,15.0,20,0.0,10.0,près du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," WACQUANT Claude, LAMARE Véronique in : DORIS, 17/04/2021 : Oblada melanura (Linnaeus, 1758)",720,2.0,922.0,<rnd>,
Odondebuenia balearica,410,Le gobie des Baléares,,85,3.7,3.9,25.0,40.0,Vivent sur le fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Odontaspis ferox,624,Le requin feroce,,138,370.0,400,40.0,300.0,,,,En profondeur sur les substrats meubles ou rocheux,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," COZIC Celine, MALIET Vincent, GIRARD Pascal in : DORIS, 19/01/2021 : Odontaspis ferox Risso, 1810",4906,,,<rnd>,
Oedalechilus labeo,56,Le mulet labeon,,18,18.0,25,0.0,10.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p."," DIDIERLAURENT Sylvie, COUDRE Christian in : DORIS, 11/02/2021 : Oedalechilus labeo (Cuvier, 1829)",2596,89.0,377.0,Oedalechiluslabeo27.jpeg,126984
Oncorhynchus gorbuscha,48,Le saumon à bosse,,14,50.0,65,0.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Oncorhynchus keta,46,Le saumon argenté,,14,70.0,100,0.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Oncorhynchus kisutch,47,Le saumon coho,,14,65.0,90,0.0,50.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
Oncorhynchus mykiss,45,La truite arc en ciel,,14,60.0,80,1.0,30.0,loin du fond,,,,,,,,,,,,,"Patrick Louisy, Guide d’identification des poissons marins, europe et mediterranée, Ed. ULMER, 430 p.",,,,,<rnd>,
